Anio;Estacion;Pasajeros
2013;Villa El Salvador;4579267
2013;Parque Industrial;1433673
2013;Pumacahua;1242020
2013;Villa Maria;3077104
2013;Maria Auxiliadora;2132396
2013;San Juan;1819466
2013;Atocongo;1836484
2013;Jorge Chavez;905339
2013;Ayacucho;916408
2013;Cabitos;1285993
2013;Angamos;1774769
2013;San Borja Sur;776533
2013;La Cultura;3396543
2013;Arriola;973877
2013;Gamarra;4907425
2013;Grau;5091018
2013;El Angel;0
2013;Presbitero Maestro;0
2013;Caja de Agua;0
2013;Piramide del Sol;0
2013;Los Jardines;0
2013;Los Postes;0
2013;San Carlos;0
2013;San Martin;0
2013;Santa Rosa;0
2013;Bayovar;0
2014;Villa El Salvador;6712621
2014;Parque Industrial;1971285
2014;Pumacahua;1767832
2014;Villa Maria;4031270
2014;Maria Auxiliadora;3035734
2014;San Juan;2813357
2014;Atocongo;2913650
2014;Jorge Chavez;1360044
2014;Ayacucho;1511799
2014;Cabitos;2412209
2014;Angamos;3461660
2014;San Borja Sur;1308385
2014;La Cultura;6507334
2014;Arriola;2143715
2014;Gamarra;7666760
2014;Grau;7790396
2014;El Angel;126016
2014;Presbitero Maestro;243224
2014;Caja de Agua;1133212
2014;Piramide del Sol;1022398
2014;Los Jardines;1585786
2014;Los Postes;1025459
2014;San Carlos;1458475
2014;San Martin;987922
2014;Santa Rosa;1382301
2014;Bayovar;3960393
2015;Villa El Salvador;7205132
2015;Parque Industrial;2415577
2015;Pumacahua;2149679
2015;Villa Maria;4269597
2015;Maria Auxiliadora;3519315
2015;San Juan;3370050
2015;Atocongo;4073647
2015;Jorge Chavez;1699639
2015;Ayacucho;2203993
2015;Cabitos;3834893
2015;Angamos;5495924
2015;San Borja Sur;2214824
2015;La Cultura;9305286
2015;Arriola;3778389
2015;Gamarra;10476895
2015;Grau;9735821
2015;El Angel;353784
2015;Presbitero Maestro;644911
2015;Caja de Agua;2885839
2015;Piramide del Sol;2686797
2015;Los Jardines;3763748
2015;Los Postes;2668852
2015;San Carlos;3687217
2015;San Martin;3054045
2015;Santa Rosa;3857291
2015;Bayovar;7719000
2016;Villa El Salvador;6934524
2016;Parque Industrial;2479803
2016;Pumacahua;2288808
2016;Villa Maria;4254168
2016;Maria Auxiliadora;3402905
2016;San Juan;3433356
2016;Atocongo;4411213
2016;Jorge Chavez;1857993
2016;Ayacucho;2434421
2016;Cabitos;4019768
2016;Angamos;5276328
2016;San Borja Sur;2544577
2016;La Cultura;9092660
2016;Arriola;3919550
2016;Gamarra;9878418
2016;Grau;9685474
2016;El Angel;409577
2016;Presbitero Maestro;741369
2016;Caja de Agua;3211763
2016;Piramide del Sol;2893565
2016;Los Jardines;3502781
2016;Los Postes;2567151
2016;San Carlos;3755276
2016;San Martin;3224439
2016;Santa Rosa;3789754
2016;Bayovar;7220502
2017;Villa El Salvador;6717994
2017;Parque Industrial;2478210
2017;Pumacahua;2283259
2017;Villa Maria;4228030
2017;Maria Auxiliadora;3287124
2017;San Juan;3632423
2017;Atocongo;4468969
2017;Jorge Chavez;2015787
2017;Ayacucho;2447242
2017;Cabitos;3907381
2017;Angamos;5063278
2017;San Borja Sur;2727982
2017;La Cultura;8514698
2017;Arriola;3885263
2017;Gamarra;10041755
2017;Grau;9910801
2017;El Angel;467349
2017;Presbitero Maestro;860230
2017;Caja de Agua;3458259
2017;Piramide del Sol;2925238
2017;Los Jardines;3475707
2017;Los Postes;2561978
2017;San Carlos;3911468
2017;San Martin;3256240
2017;Santa Rosa;3674041
2017;Bayovar;7329482
2018;Villa El Salvador;7629448
2018;Parque Industrial;2728594
2018;Pumacahua;2641872
2018;Villa Maria;4690261
2018;Maria Auxiliadora;3920848
2018;San Juan;4235152
2018;Atocongo;5331955
2018;Jorge Chavez;2479958
2018;Ayacucho;2891834
2018;Cabitos;4370115
2018;Angamos;6019089
2018;San Borja Sur;2905092
2018;La Cultura;9742101
2018;Arriola;4413330
2018;Gamarra;12103055
2018;Grau;11125518
2018;El Angel;550557
2018;Presbitero Maestro;1065926
2018;Caja de Agua;4367900
2018;Piramide del Sol;3471080
2018;Los Jardines;4119272
2018;Los Postes;2893628
2018;San Carlos;4416266
2018;San Martin;3539786
2018;Santa Rosa;4007968
2018;Bayovar;8480030
2019;Villa El Salvador;11685563
2019;Parque Industrial;3948626
2019;Pumacahua;4423878
2019;Villa Maria;6341966
2019;Maria Auxiliadora;6714714
2019;San Juan;4671373
2019;Atocongo;7899695
2019;Jorge Chavez;3726752
2019;Ayacucho;4208116
2019;Cabitos;6382008
2019;Angamos;9090743
2019;San Borja Sur;3381970
2019;La Cultura;13983572
2019;Arriola;5214614
2019;Gamarra;15982969
2019;Grau;14894700
2019;El Angel;660237
2019;Presbitero Maestro;1386457
2019;Caja de Agua;8114795
2019;Piramide del Sol;258867
2019;Los Jardines;6775649
2019;Los Postes;3822066
2019;San Carlos;5524272
2019;San Martin;4310369
2019;Santa Rosa;5010667
2019;Bayovar;11917606
2020;Villa El Salvador;4543326
2020;Parque Industrial;1704427
2020;Pumacahua;1749209
2020;Villa Maria;2716750
2020;Maria Auxiliadora;2722745
2020;San Juan;1915670
2020;Atocongo;3040031
2020;Jorge Chavez;1447659
2020;Ayacucho;1641845
2020;Cabitos;2516093
2020;Angamos;3764407
2020;San Borja Sur;1639998
2020;La Cultura;5388513
2020;Arriola;2383510
2020;Gamarra;5450873
2020;Grau;4909284
2020;El Angel;582709
2020;Presbitero Maestro;861786
2020;Caja de Agua;3012861
2020;Piramide del Sol;1352935
2020;Los Jardines;2619693
2020;Los Postes;1800771
2020;San Carlos;2344870
2020;San Martin;1992691
2020;Santa Rosa;2263424
2020;Bayovar;5635178
2021;Villa El Salvador;4840366
2021;Parque Industrial;1871577
2021;Pumacahua;1910436
2021;Villa Maria;3363730
2021;Maria Auxiliadora;3100264
2021;San Juan;2075238
2021;Atocongo;3139372
2021;Jorge Chavez;1411613
2021;Ayacucho;1535696
2021;Cabitos;2627780
2021;Angamos;4056348
2021;San Borja Sur;1765898
2021;La Cultura;5747558
2021;Arriola;3309189
2021;Gamarra;7228989
2021;Grau;5450761
2021;El Angel;743376
2021;Presbitero Maestro;1035466
2021;Caja de Agua;3588493
2021;Piramide del Sol;1684240
2021;Los Jardines;3079441
2021;Los Postes;2203364
2021;San Carlos;2879849
2021;San Martin;2522297
2021;Santa Rosa;2939587
2021;Bayovar;7115240
2022;Villa El Salvador;7683224
2022;Parque Industrial;2579530
2022;Pumacahua;2709098
2022;Villa Maria;5156411
2022;Maria Auxiliadora;4581317
2022;San Juan;3466074
